#{"env_id": "Humanoid-v2", "t_start": 1530713429.5316768}
r,l,t
130.591674,28,1.151264
100.718827,21,1.185006
97.768664,20,1.221405
97.584888,20,1.259048
76.489811,16,1.286935
128.31274,30,1.341591
80.626445,17,1.371919
91.665824,19,1.406758
84.354241,18,1.445703
94.886036,20,1.490315
85.41712,18,1.529171
117.586814,24,1.573791
83.110077,18,1.601389
75.619111,16,1.626654
106.252114,23,1.661354
86.295628,18,1.686318
90.143427,19,1.714485
131.329121,27,1.762241
104.403783,22,1.801241
81.268528,17,1.831275
81.271028,17,1.864912
88.863502,20,1.906122
75.907238,16,1.935616
89.079786,19,1.967443
86.14541,18,1.992688
80.545515,17,2.016475
111.894505,24,2.055393
85.703852,18,2.085585
81.236816,17,2.117512
75.707229,16,2.148733
120.266946,25,2.199714
99.524807,21,2.240822
75.514796,16,2.272154
85.729425,18,2.307784
97.419587,21,2.340724
93.745838,20,2.370625
76.103622,16,2.393698
91.80201,19,2.426873
122.756933,25,2.47068
106.500112,22,2.508907
140.314047,29,2.552906
97.348961,20,2.584175
130.919911,27,2.632838
81.002138,17,2.660236
76.410371,16,2.690829
91.058085,19,2.72858
189.536668,39,2.798209
79.901638,17,2.830458
85.750649,18,2.868315
80.339376,17,2.901213
134.417748,28,2.958997
269.24364,54,3.072005
186.406876,40,3.139261
176.704913,38,3.198462
93.012353,20,3.24123
81.374725,17,3.273791
109.531827,22,3.31621
78.917948,17,3.348878
76.647798,16,3.378942
86.304788,18,3.406793
89.687573,19,3.434877
99.425269,22,3.467986
69.78521,16,3.492173
118.603024,24,3.527342
200.962074,47,3.600897
75.837706,16,3.624179
76.708951,16,3.646705
99.916682,21,3.677711
80.64758,17,3.701951
80.55764,17,3.725274
87.025518,19,3.757637
113.02891,24,3.793701
81.446259,17,3.81788
80.861902,17,3.843658
91.368487,19,3.871047
148.627052,32,3.91986
76.583086,16,3.949412
79.372158,17,3.981804
84.52432,18,4.018435
106.478785,22,4.06582
113.584147,24,4.11534
76.406419,16,4.146848
104.940686,22,4.190846
96.826431,20,4.219633
86.266333,18,4.249826
77.068479,17,4.27817
95.838485,20,4.311053
98.138182,21,4.347174
144.511183,31,4.401858
126.503331,31,4.451454
98.283456,21,4.48069
80.233393,17,4.502778
74.942104,16,4.52425
76.705029,16,4.545926
91.198828,20,4.57936
99.440733,21,4.623679
76.386562,16,4.654716
163.245685,34,7.35928
97.595195,20,7.39892
124.549638,26,7.448352
81.456699,17,7.479442
222.92293,44,7.567661
121.479022,25,7.616563
123.155218,26,7.670814
86.2929,18,7.707845
113.214101,24,7.754472
98.534885,21,7.792125
76.542244,16,7.819131
93.783954,21,7.854612
92.731627,19,7.880246
103.45408,22,7.909523
85.163696,18,7.933744
79.344391,17,7.957019
74.813547,16,7.983695
94.166843,20,8.018048
125.291636,27,8.066303
80.859659,17,8.094957
168.086425,37,8.158895
125.910655,27,8.201462
86.139196,18,8.232273
94.430007,20,8.269228
75.006166,16,8.29618
166.409349,33,8.355245
174.097532,38,8.420528
119.29042,25,8.460958
85.413181,18,8.491203
81.481152,17,8.523919
160.197078,35,8.590005
117.648571,25,8.626637
79.361125,17,8.652479
108.693121,22,8.688465
107.183316,22,8.725996
154.080742,33,8.781031
123.772262,28,8.83042
125.015475,28,8.888049
79.857705,17,8.911545
103.545145,21,8.939943
113.065185,23,8.972453
143.33506,31,9.022984
127.479258,28,9.066331
140.68948,30,9.111445
124.690095,27,9.153305
148.917152,32,9.200839
103.968322,23,9.237512
108.000806,23,9.285484
189.238784,42,9.371102
76.29523,16,9.401593
150.781645,35,9.469522
104.298574,23,9.507854
129.214431,29,9.565489
216.710368,44,9.654317
102.128349,22,9.689452
91.124194,19,9.717664
106.261446,22,9.762217
157.681971,33,9.831541
104.272953,22,9.871743
92.267453,19,9.899706
80.627501,17,9.924594
137.533003,29,9.969087
80.973312,17,10.003063
76.519794,16,10.029993
80.770487,17,10.059377
79.766651,17,10.088415
150.476521,31,10.14622
95.039271,20,10.183242
111.683957,23,10.230248
86.594511,18,10.264751
97.17152,20,10.297032
96.545238,20,10.326491
113.622432,23,10.359496
91.9708,20,10.391443
99.434132,21,10.433332
81.119626,17,10.466002
84.201121,18,10.4996
73.732495,16,10.526424
108.523168,24,10.572428
108.549621,23,10.616941
150.983993,31,10.678053
76.758819,16,10.703922
180.168553,39,10.769302
87.128319,18,10.798991
81.464262,17,10.828302
101.208469,21,10.86535
81.368565,17,13.099829
90.93495,19,13.126215
106.601093,23,13.157377
182.442632,42,13.228
81.092138,17,13.253029
81.106932,17,13.277461
135.475614,28,13.31999
182.794102,39,13.37953
195.559924,40,13.465746
86.754788,19,13.504045
148.497848,33,13.560136
92.253224,19,13.593087
123.116461,27,13.639691
93.825048,20,13.668112
143.519485,29,13.710461
138.514874,29,13.754056
255.277299,50,13.830822
122.376754,25,13.866175
96.512733,20,13.894132
85.121561,18,13.919569
100.635003,21,13.950878
77.569677,17,13.977713
80.91759,17,14.005834
143.786773,29,14.057421
115.932556,24,14.100492
227.596032,49,14.189495
132.813264,27,14.229639
131.35168,27,14.274011
88.992955,19,14.306091
107.296464,22,14.342582
151.17652,32,14.39774
80.659715,17,14.425089
186.999261,41,14.495069
233.273374,46,14.570112
126.16588,26,14.615018
97.11833,20,14.649493
84.230818,18,14.675102
141.960158,30,14.736265
108.301066,22,14.781425
81.557099,17,14.814391
204.862871,41,14.902492
81.285779,17,14.936749
85.819254,18,14.972972
126.603628,26,15.020127
131.421051,27,15.07335
99.822106,21,15.102603
150.520135,30,15.159151
147.065175,34,15.226048
148.906165,30,15.276008
105.935899,22,15.307152
174.315818,37,15.362746
265.52028,53,15.445391
144.743396,32,15.490638
137.533973,28,15.533512
98.777416,22,15.570269
126.242544,26,15.613686
140.950098,29,15.666519
106.527976,25,15.706577
113.383873,23,15.738214
141.042084,29,15.781784
91.158392,19,15.81278
132.726435,28,15.85895
144.929521,30,15.910552
216.652657,44,15.984961
133.765186,29,16.03211
81.462407,17,16.059063
177.962353,37,16.120954
142.788852,30,16.173354
183.326962,42,16.245208
162.118711,34,16.310897
106.858385,23,16.362394
243.622112,53,16.454637
115.69163,26,16.498861
200.096784,40,18.9929
142.165455,33,19.050729
151.508412,32,19.102571
114.625853,25,19.148784
92.407474,19,19.180683
149.460239,31,19.236846
148.836049,32,19.294475
112.175853,23,19.336137
85.668157,18,19.367407
88.208388,20,19.400865
185.566114,42,19.47966
81.289722,17,19.505541
132.344859,27,19.547333
133.504784,29,19.597157
193.075081,40,19.663404
119.064781,27,19.708869
102.403409,22,19.744822
129.658959,27,19.789589
137.166513,29,19.834229
102.877164,21,19.863871
86.183639,18,19.890354
209.106647,45,19.964105
87.314807,19,19.994751
81.590055,17,20.018611
189.458963,42,20.081448
159.576638,33,20.131366
107.172062,23,20.165944
204.113729,42,20.233172
119.832449,24,20.27206
108.304522,22,20.30713
156.854877,36,20.365393
196.933021,42,20.455182
152.664092,32,20.51959
78.330432,17,20.552631
114.515786,28,20.591733
81.634087,17,20.614022
148.523553,33,20.660831
81.717986,17,20.685013
164.771549,34,20.732983
103.477078,22,20.763773
97.196708,20,20.792457
98.148484,21,20.822352
129.873451,29,20.87023
184.753044,41,20.942122
101.725866,21,20.972243
113.288068,25,21.010648
133.891172,31,21.063745
129.017686,29,21.113737
157.331479,31,21.168991
224.43894,47,21.254549
89.953539,19,21.289637
76.695683,17,21.31967
87.019703,18,21.349465
99.035966,21,21.385584
87.1587,19,21.419003
153.974329,31,21.466367
151.508914,31,21.506994
180.512926,37,21.567834
207.741795,40,21.632209
146.620256,32,21.677675
141.251135,29,21.736207
93.757349,20,21.77334
124.480531,26,21.807605
230.874366,50,21.908541
140.965224,30,21.95159
117.860467,25,21.989599
180.065036,40,22.054894
85.217156,18,22.082545
240.848002,49,22.161893
111.057289,22,22.196901
76.528824,16,22.222923
152.755972,34,22.281909
241.691075,49,24.805106
207.112182,43,24.901917
118.120566,26,24.956549
150.43577,31,25.023375
185.407503,38,25.09554
101.066261,21,25.129275
227.059002,49,25.226706
149.711155,33,25.295033
266.843799,51,25.402694
202.6676,41,25.464648
233.368921,51,25.561143
169.336721,34,25.611928
157.117587,33,25.679386
224.55457,47,25.781167
265.250071,58,25.89895
215.564026,44,25.964616
107.100561,22,25.997447
169.863992,35,26.049178
202.496239,45,26.115639
145.220512,30,26.159595
144.581736,34,26.21136
155.655023,34,26.260249
129.108297,27,26.295633
152.649545,33,26.3423
150.354013,31,26.389021
122.737491,27,26.428468
114.421129,23,26.4632
86.114353,18,26.489344
174.761945,40,26.556769
179.271369,35,26.614692
161.171172,35,26.666196
78.869328,17,26.690128
97.903489,21,26.719712
83.911944,18,26.747128
86.767355,18,26.781698
194.988936,43,26.861015
263.409374,52,26.938042
184.54598,40,26.997807
163.894377,34,27.050877
190.014051,43,27.116026
108.218347,22,27.149113
148.286525,30,27.193686
238.43201,48,27.26738
199.126012,43,27.333228
181.071952,37,27.408263
232.31323,50,27.496161
156.313948,35,27.554814
106.346753,23,27.602563
148.819826,30,27.657428
152.585721,34,27.717071
112.416239,24,27.757164
242.427731,47,27.842977
182.647784,42,27.928268
178.217034,38,27.995421
143.936996,32,28.049425
122.817693,29,28.098597
208.951549,47,28.169587
294.524987,63,28.259536
177.280751,37,30.803928
238.58933,52,30.905583
199.776708,44,30.989139
165.44281,35,31.053887
263.134685,54,31.142231
265.715419,59,31.248112
188.752342,40,31.326551
271.773942,54,31.419406
145.295077,30,31.466308
85.435276,18,31.497339
205.754053,42,31.576069
107.993714,22,31.621306
176.318457,37,31.681964
265.825764,55,31.764293
159.468037,37,31.824513
155.13133,34,31.881124
227.686569,49,31.975732
200.215551,43,32.068698
220.303225,46,32.157795
340.255554,73,32.291067
121.891141,26,32.344576
164.872179,34,32.409335
101.92467,21,32.436723
114.570725,26,32.472416
223.195456,47,32.553524
111.034767,23,32.600146
196.535926,42,32.683634
238.492745,54,32.780663
226.350089,46,32.875407
201.979646,43,32.9572
196.330134,44,33.035738
188.432766,40,33.114362
300.013962,64,33.231943
138.048243,31,33.280944
205.906748,46,33.359902
315.774847,63,33.467981
132.866321,29,33.509272
321.409916,64,33.600978
162.462004,35,33.649773
218.401727,44,33.713913
189.666051,40,33.772351
115.119192,24,33.808499
126.237776,28,33.849846
194.902204,40,33.910842
89.630176,19,33.939024
238.072779,48,34.020999
213.761588,44,34.092377
194.664886,43,34.157825
167.675252,37,34.22798
211.112367,42,34.301535
164.274233,36,36.563048
266.958221,53,36.658044
286.059559,58,36.781208
170.64099,36,36.859186
247.366233,51,36.965637
202.575295,42,37.025475
231.619561,50,37.132397
311.513251,73,37.257282
188.492291,39,37.31205
334.691708,69,37.41842
165.584411,39,37.4865
319.539687,66,37.604029
288.698304,56,37.712777
145.407558,31,37.757513
274.578184,53,37.84396
207.91237,46,37.926588
237.881046,54,38.005898
236.162996,51,38.078135
228.048468,49,38.151695
272.375631,55,38.255202
369.824013,71,38.397753
