#{"t_start": 1530713429.4165452, "env_id": "Humanoid-v2"}
r,l,t
82.545063,17,1.291734
97.985464,21,1.330274
78.837713,17,1.360223
153.395299,32,1.42203
87.870737,18,1.456325
76.544876,16,1.485608
115.637289,28,1.533572
135.495027,29,1.577311
80.704786,17,1.605719
83.429882,18,1.637432
129.969236,26,1.681756
117.398256,24,1.72401
106.100389,22,1.7614
102.017959,22,1.796529
74.973939,16,1.817837
104.116486,23,1.856324
134.23753,28,1.905825
85.973296,18,1.935064
80.142677,17,1.962828
144.899657,35,2.022502
111.003345,24,2.059052
82.770713,17,2.083125
135.23922,31,2.131428
96.437214,20,2.165943
81.160565,17,2.199328
80.908406,17,2.231708
79.025471,17,2.264797
80.769751,17,2.296946
201.326971,39,2.381258
90.191267,19,2.41045
99.449445,22,2.443238
86.595912,19,2.468613
81.391662,17,2.490801
101.975536,22,2.523437
120.749361,26,2.56244
195.888574,45,2.63119
79.469999,17,2.657125
76.495312,16,2.68742
75.877623,16,2.71187
86.089594,18,2.734566
126.077971,27,2.77283
74.852129,16,2.793016
89.069976,19,2.819911
140.349485,29,2.862251
76.314759,16,2.882715
99.560084,22,2.91256
146.502846,32,2.956883
242.94472,50,3.029055
117.314312,26,3.063689
97.041898,20,3.090438
80.791316,18,3.125331
75.605944,16,3.146719
82.062526,17,3.168877
88.674156,19,3.193772
142.203204,29,3.23265
81.590961,17,3.254624
80.007698,17,3.277066
80.816787,17,3.298907
90.866051,19,3.324233
86.785269,18,3.348136
111.8929,24,3.38043
152.251663,33,3.428802
132.664335,28,3.468863
106.584051,22,3.500049
133.842297,28,3.541604
76.272167,16,3.563966
76.316714,16,3.585825
81.262498,17,3.609329
112.755531,24,3.643383
85.815828,18,3.669781
134.223684,30,3.71549
123.498421,27,3.755841
134.127839,30,3.800842
112.880116,25,3.839199
99.159935,21,3.870431
157.149153,34,3.922838
166.306119,36,3.97953
180.083509,37,4.038902
96.834229,20,4.065634
87.132646,18,4.089049
129.135065,26,4.124164
105.641017,22,4.157946
158.811037,33,4.215645
106.286073,22,4.252249
92.945989,20,4.286169
81.795085,17,4.314208
85.375044,18,4.341087
92.832997,20,4.369943
125.047255,26,4.408283
131.889768,28,7.428519
100.103354,21,7.468984
82.483538,18,7.497264
99.876273,21,7.52853
76.19967,16,7.552011
119.597892,25,7.589784
142.153012,29,7.633816
95.923615,20,7.663415
99.726968,21,7.69238
107.630835,22,7.722157
81.157359,17,7.748966
80.593946,17,7.777512
81.420543,17,7.805733
81.089837,17,7.831526
112.513968,23,7.871134
91.085328,19,7.902903
75.556088,16,7.929388
81.352838,17,7.957669
